Fecha,Tienda,Producto,Descuento_Aplicado,Temperatura_Promedio_C,Precipitacion_mm,Categoría,Precio,Costo,Descuento_Max,Marca,Región,year,month,week,day_of_year,ventas_lag_1,ventas_lag_2,ventas_lag_4,ventas_lag_8,monto_lag_1,monto_lag_2,monto_lag_4,monto_lag_8,ventas_rolling_4,ventas_rolling_8,ventas_rolling_12,monto_rolling_4,monto_rolling_8,monto_rolling_12,Prediccion_Ventas,Prediccion_Monto
2025-03-02,1,11,0,22.246129032258064,10.169677419354839,0,786.83,411.77,0,2,2,2025,3,9,61,32.0,40.0,65.0,25.0,25178.56,31473.2,51143.95,19670.75,51.0,58.125,56.916666666666664,40128.33,45734.49375,44783.74083333334,66.11376,52020.29127723694
2025-03-02,1,12,0,22.246129032258064,10.169677419354839,0,464.61,243.14,15,1,2,2025,3,9,61,68.0,55.0,67.0,55.0,28008.95,22017.82,27409.73,24864.37,53.5,54.75,58.666666666666664,21796.9875,23481.756250000002,25334.75916666667,46.736725,21714.349734191896
2025-03-02,1,13,0,22.246129032258064,10.169677419354839,1,630.94,330.19,0,0,2,2025,3,9,61,74.0,60.0,21.0,63.0,46689.56,37856.4,13249.74,39749.22,62.0,66.0,74.58333333333333,39118.28,41642.04,47057.60833333334,55.567924,35060.02628372193
2025-03-02,1,14,0,22.246129032258064,10.169677419354839,4,882.17,461.66,10,1,2,2025,3,9,61,87.0,47.0,72.0,59.0,72608.03,39748.53,63146.3,47728.19,67.0,70.75,69.75,57186.565,59201.495,58145.24416666668,64.314575,56736.38880004882
2025-03-02,1,15,0,22.246129032258064,10.169677419354839,1,275.72,144.29,0,1,2,2025,3,9,61,30.0,87.0,58.0,55.0,8271.6,23987.64,15991.76,15164.6,69.25,62.375,63.833333333333336,19093.61,17198.035,17600.126666666667,80.21188,22116.020531005863
2025-03-02,1,16,0,22.246129032258064,10.169677419354839,3,783.45,410.0,5,1,2,2025,3,9,61,74.0,60.0,27.0,54.0,57787.79,45017.03,21050.64,40904.42,60.75,72.0,67.5,46447.7625,55174.845,51666.380000000005,52.876472,41426.07235908508
2025-03-02,1,17,0,22.246129032258064,10.169677419354839,1,641.44,335.68,10,0,2,2025,3,9,61,82.0,25.0,33.0,53.0,48013.94,15853.55,20813.44,33963.59,56.25,55.375,59.333333333333336,33555.457500000004,33378.333750000005,35835.07333333334,57.13425,36648.1937310791
2025-03-02,1,18,0,22.246129032258064,10.169677419354839,2,238.66,124.9,15,0,2,2025,3,9,61,65.0,58.0,88.0,85.0,15183.64,13472.37,18664.39,20258.09,70.25,69.25,70.16666666666667,15994.362500000001,15745.94625,15867.085000000001,76.76789,18321.424849395753
2025-03-02,1,19,0,22.246129032258064,10.169677419354839,1,399.16,208.89,20,2,2,2025,3,9,61,46.0,48.0,54.0,40.0,17630.74,15631.95,20980.6,15833.33,52.75,56.625,59.916666666666664,19640.6525,20424.980000000003,21700.3875,54.64459,21811.93393386841
2025-03-02,1,20,0,22.246129032258064,10.169677419354839,4,348.73,182.5,0,3,2,2025,3,9,61,82.0,72.0,46.0,24.0,28595.86,25108.56,16041.58,8369.52,56.0,48.125,53.25,19528.88,16782.63125,18569.872499999998,34.30864,11964.45186203003
2025-03-02,2,1,0,22.246129032258064,10.169677419354839,1,653.27,341.87,0,1,2,2025,3,9,61,49.0,72.0,38.0,36.0,32010.23,47035.44,24824.26,23517.72,52.25,59.125,62.416666666666664,34133.3575,38624.58875,40774.93583333334,40.453476,26427.04223526001
2025-03-02,2,2,0,22.246129032258064,10.169677419354839,0,158.52,82.96,10,0,2,2025,3,9,61,40.0,23.0,94.0,73.0,6120.75,3324.37,14086.61,11395.49,49.0,58.625,59.916666666666664,7406.6525,8948.04,9100.965833333334,62.54543,9914.701441497804
2025-03-02,2,3,0,22.246129032258064,10.169677419354839,0,323.52,169.31,5,2,2,2025,3,9,61,40.0,27.0,67.0,36.0,12676.81,8489.42,20735.73,11353.95,55.25,62.875,63.416666666666664,17293.91,19748.57625,19952.5275,76.71784,24819.756276855467
2025-03-02,2,4,0,22.246129032258064,10.169677419354839,3,96.04,50.26,0,2,2,2025,3,9,61,48.0,67.0,55.0,54.0,4609.92,6434.68,5282.2,5186.16,46.25,54.25,58.166666666666664,4441.85,5210.17,5586.326666666667,33.02338,3171.565442047119
2025-03-02,2,5,0,22.246129032258064,10.169677419354839,4,269.57,141.07,20,1,2,2025,3,9,61,52.0,52.0,25.0,53.0,11713.27,12836.85,6271.42,12392.95,50.5,56.25,57.166666666666664,11935.782500000001,13054.612500000001,13701.835000000001,47.778454,12879.63779811859
2025-03-02,2,6,0,22.246129032258064,10.169677419354839,2,167.35,87.58,20,3,2,2025,3,9,61,99.0,105.0,91.0,93.0,14612.7,15233.75,14906.94,12952.72,82.25,81.125,73.66666666666667,12362.482499999998,11913.782500000001,10792.0,66.85966,11188.963647079467
2025-03-02,2,7,0,22.246129032258064,10.169677419354839,0,729.45,381.74,10,0,2,2025,3,9,61,88.0,31.0,26.0,44.0,59805.57,21787.56,17231.7,30613.92,61.75,59.375,58.083333333333336,41619.14,41065.91875,40636.902500000004,62.05541,45266.31771411896
2025-03-02,2,8,0,22.246129032258064,10.169677419354839,4,941.46,492.69,15,3,2,2025,3,9,61,58.0,50.0,78.0,54.0,49923.67,40127.85,69921.1,43432.61,55.0,57.875,64.5,47907.72750000001,50143.39875,56023.86583333334,55.125427,51898.38473510742
2025-03-02,2,9,0,22.246129032258064,10.169677419354839,2,767.77,401.79,20,1,2,2025,3,9,61,39.0,69.0,49.0,62.0,24997.35,48678.61,30216.77,38619.71,65.25,61.125,56.916666666666664,45588.4775,41999.01625,39143.015,76.30026,58581.05250213623
2025-03-02,2,10,0,22.246129032258064,10.169677419354839,1,190.79,99.85,10,2,2,2025,3,9,61,111.0,57.0,59.0,16.0,20248.96,10655.35,10848.12,2752.0,72.0,63.0,63.083333333333336,13295.9475,11457.26625,11481.623333333335,62.885345,11997.895060119628
2025-03-02,2,11,0,22.246129032258064,10.169677419354839,0,786.83,411.77,0,2,2,2025,3,9,61,61.0,71.0,21.0,34.0,47996.63,55864.93,16523.43,26752.22,43.25,55.875,58.833333333333336,34030.3975,43964.12625,46291.831666666665,21.129927,16625.660210819246
2025-03-02,2,12,0,22.246129032258064,10.169677419354839,0,464.61,243.14,15,1,2,2025,3,9,61,52.0,97.0,57.0,55.0,22056.03,41025.28,24988.16,23187.76,76.0,60.5,65.91666666666667,32484.655,25712.493749999998,28281.683333333338,77.31235,35920.089731140135
2025-03-02,2,13,0,22.246129032258064,10.169677419354839,1,630.94,330.19,0,0,2,2025,3,9,61,31.0,66.0,19.0,101.0,19559.14,41642.04,11987.86,63724.94,39.0,59.125,62.083333333333336,24606.66,37304.3275,39170.85833333333,29.610289,18682.31550189972
2025-03-02,2,14,0,22.246129032258064,10.169677419354839,4,882.17,461.66,10,1,2,2025,3,9,61,36.0,87.0,67.0,46.0,30286.77,73674.9,56198.51,38858.07,56.0,57.25,58.583333333333336,47353.12499999999,47969.83625,49283.565,52.73933,46525.055003471374
2025-03-02,2,15,0,22.246129032258064,10.169677419354839,1,275.72,144.29,0,1,2,2025,3,9,61,49.0,52.0,58.0,61.0,13510.28,14337.44,15991.76,16818.92,59.5,54.625,53.0,16405.34,15061.205,14613.159999999998,67.12616,18508.024743652346
2025-03-02,2,16,0,22.246129032258064,10.169677419354839,3,783.45,410.0,5,1,2,2025,3,9,61,80.0,85.0,64.0,51.0,61206.78,66436.06,48387.51,38941.82,80.5,75.75,73.41666666666667,61664.14,58283.037500000006,56702.56416666667,82.35509,64521.09312973023
2025-03-02,2,17,0,22.246129032258064,10.169677419354839,1,641.44,335.68,10,0,2,2025,3,9,61,35.0,42.0,71.0,68.0,21847.63,25502.69,43084.08,40943.3,61.5,59.75,59.25,36911.9725,36539.39875,36178.86666666667,85.4311,54798.92410278321
2025-03-02,2,18,0,22.246129032258064,10.169677419354839,2,238.66,124.9,15,0,2,2025,3,9,61,59.0,77.0,35.0,41.0,13241.02,16324.58,8303.1,9299.36,53.75,54.875,51.75,11708.7425,12016.04375,11289.393333333333,42.575954,10161.177285995484
2025-03-02,2,19,0,22.246129032258064,10.169677419354839,1,399.16,208.89,20,2,2,2025,3,9,61,39.0,48.0,40.0,47.0,12598.54,17430.95,14082.75,16902.45,51.5,51.25,59.416666666666664,18429.43,18495.00875,21282.51916666667,59.356426,23692.711097564697
2025-03-02,2,20,0,22.246129032258064,10.169677419354839,4,348.73,182.5,0,3,2,2025,3,9,61,23.0,78.0,42.0,40.0,8020.79,27200.94,14646.66,13949.2,47.5,50.0,54.416666666666664,16564.675,17436.5,18976.724166666667,45.03985,15706.746307296753
2025-03-02,3,1,0,22.246129032258064,10.169677419354839,1,653.27,341.87,0,1,1,2025,3,9,61,65.0,21.0,41.0,21.0,42462.55,13718.67,26784.07,13718.67,60.5,56.0,52.583333333333336,39522.835,36583.119999999995,34351.11416666666,73.82988,48230.845551300044
2025-03-02,3,2,0,22.246129032258064,10.169677419354839,0,158.52,82.96,10,0,1,2025,3,9,61,62.0,40.0,29.0,61.0,9788.67,5870.32,4321.95,9235.68,51.25,51.875,62.5,7652.860000000001,7739.38875,9257.465,49.944927,7917.269862213136
2025-03-02,3,3,0,22.246129032258064,10.169677419354839,0,323.52,169.31,5,2,1,2025,3,9,61,38.0,54.0,73.0,75.0,11964.79,16993.84,22537.96,23832.48,58.5,63.125,61.833333333333336,18226.387499999997,19733.095,19311.31333333333,74.28862,24033.85434082031
2025-03-02,3,4,0,22.246129032258064,10.169677419354839,3,96.04,50.26,0,2,1,2025,3,9,61,39.0,48.0,24.0,74.0,3745.56,4609.92,2304.96,7106.96,34.75,45.375,47.833333333333336,3337.39,4357.815,4593.913333333333,31.0114,2978.33487739563
2025-03-02,3,5,0,22.246129032258064,10.169677419354839,4,269.57,141.07,20,1,1,2025,3,9,61,91.0,52.0,71.0,33.0,22031.9,11218.13,19019.06,8063.02,71.75,60.625,55.0,17524.1675,14850.145,13435.69333333333,70.17871,18918.075107421875
2025-03-02,3,6,0,22.246129032258064,10.169677419354839,2,167.35,87.58,20,3,1,2025,3,9,61,35.0,80.0,102.0,87.0,5102.81,11807.42,15227.93,12536.35,59.75,61.25,54.416666666666664,8780.785,9033.625,8062.334166666665,63.032776,10548.535043334961
2025-03-02,3,7,0,22.246129032258064,10.169677419354839,0,729.45,381.74,10,0,1,2025,3,9,61,61.0,65.0,75.0,15.0,42923.38,46951.57,53148.64,10127.16,61.75,56.75,62.333333333333336,43987.0725,40035.9575,43914.20583333333,52.340733,38179.94737644196
2025-03-02,3,8,0,22.246129032258064,10.169677419354839,4,941.46,492.69,15,3,1,2025,3,9,61,43.0,96.0,39.0,63.0,40067.48,87126.46,32521.61,58192.6,65.5,61.75,64.25,59439.73500000001,55725.6725,57480.847499999996,63.79843,60063.67122253418
2025-03-02,3,9,0,22.246129032258064,10.169677419354839,2,767.77,401.79,20,1,1,2025,3,9,61,42.0,15.0,68.0,79.0,29539.2,9736.15,42311.74,54785.02,44.25,57.125,63.75,30080.339999999997,40036.63,44492.09,57.93614,44481.62878978729
2025-03-02,3,10,0,22.246129032258064,10.169677419354839,1,190.79,99.85,10,2,1,2025,3,9,61,96.0,40.0,30.0,80.0,17369.66,7305.65,5634.2,14627.78,58.5,60.25,57.083333333333336,10798.865000000002,11147.63375,10514.638333333332,48.16239,9188.902705307006
2025-03-02,3,11,0,22.246129032258064,10.169677419354839,0,786.83,411.77,0,2,1,2025,3,9,61,38.0,78.0,78.0,79.0,29899.54,61372.74,61372.74,62159.57,73.0,68.125,66.91666666666667,57438.59,53602.79375,52652.04083333333,86.04029,67699.08203575134
2025-03-02,3,12,0,22.246129032258064,10.169677419354839,0,464.61,243.14,15,1,1,2025,3,9,61,75.0,83.0,55.0,21.0,30026.09,38342.3,23106.67,9361.41,76.0,65.125,65.41666666666667,32426.2525,27499.432500000003,27752.450833333336,71.26625,33111.01269607544
2025-03-02,3,13,0,22.246129032258064,10.169677419354839,1,630.94,330.19,0,0,1,2025,3,9,61,83.0,89.0,73.0,38.0,52368.02,56153.66,46058.62,23975.72,76.0,59.25,66.33333333333333,47951.439999999995,37383.195,41852.35333333333,63.306686,39942.72071807861
2025-03-02,3,14,0,22.246129032258064,10.169677419354839,4,882.17,461.66,10,1,1,2025,3,9,61,78.0,87.0,72.0,50.0,64707.98,73500.37,61635.07,43184.06,80.25,63.125,66.75,67941.1025,53533.216250000005,56295.520833333336,79.54482,70172.05623497009
2025-03-02,3,15,0,22.246129032258064,10.169677419354839,1,275.72,144.29,0,1,1,2025,3,9,61,36.0,95.0,88.0,74.0,9925.92,26193.4,24263.36,20403.28,63.0,57.25,61.75,17370.36,15784.970000000001,17025.710000000003,60.67566,16729.49274902344
2025-03-02,3,16,0,22.246129032258064,10.169677419354839,3,783.45,410.0,5,1,1,2025,3,9,61,75.0,64.0,88.0,47.0,58720.63,48263.29,66208.42,35095.58,71.25,63.875,64.33333333333333,54157.805,48601.74,48954.47,72.15325,56528.46500358582
2025-03-02,3,17,0,22.246129032258064,10.169677419354839,1,641.44,335.68,10,0,1,2025,3,9,61,55.0,85.0,30.0,76.0,34271.53,51920.77,17714.12,48297.99,64.0,66.75,64.66666666666667,39185.3525,40990.4525,39163.073333333334,57.452103,36852.07673095704
2025-03-02,3,18,0,22.246129032258064,10.169677419354839,2,238.66,124.9,15,0,1,2025,3,9,61,64.0,63.0,69.0,65.0,14926.31,13191.91,14573.01,14716.33,74.5,67.875,62.833333333333336,16294.372499999998,14877.248749999999,13871.155833333332,81.9454,19557.088310394287
2025-03-02,3,19,0,22.246129032258064,10.169677419354839,1,399.16,208.89,20,2,1,2025,3,9,61,59.0,85.0,78.0,55.0,22775.31,31666.1,26961.8,21291.11,72.5,65.75,59.0,26852.129999999997,24186.323750000003,21686.175833333335,73.42073,29306.618822631837
2025-03-02,3,20,0,22.246129032258064,10.169677419354839,4,348.73,182.5,0,3,1,2025,3,9,61,91.0,20.0,46.0,76.0,31734.43,6974.6,16041.58,26503.48,53.75,65.875,64.25,18744.2375,22972.588750000003,22405.9025,54.330284,18946.599980697632
2025-03-02,4,1,0,22.246129032258064,10.169677419354839,1,653.27,341.87,0,1,0,2025,3,9,61,37.0,22.0,45.0,87.0,24170.99,14371.94,29397.15,56834.49,45.25,50.75,55.583333333333336,29560.467500000002,33153.4525,36310.924166666664,58.798565,38411.33849933624
2025-03-02,4,2,0,22.246129032258064,10.169677419354839,0,158.52,82.96,10,0,0,2025,3,9,61,53.0,83.0,89.0,59.0,7599.92,12384.05,14057.93,9056.54,62.0,51.5,44.416666666666664,9389.295,7863.21625,6781.204999999999,53.16836,8428.248690948487
2025-03-02,4,3,0,22.246129032258064,10.169677419354839,0,323.52,169.31,5,2,0,2025,3,9,61,78.0,30.0,108.0,79.0,25125.34,9681.64,33373.35,25455.93,64.25,72.0,65.58333333333333,20286.4675,22716.98875,20707.424166666668,71.10724,23004.613886718747
2025-03-02,4,4,0,22.246129032258064,10.169677419354839,3,96.04,50.26,0,2,0,2025,3,9,61,23.0,32.0,38.0,53.0,2208.92,3073.28,3649.52,5090.12,41.25,45.875,50.0,3961.65,4405.835,4801.999999999999,53.270798,5116.12741394043
2025-03-02,4,5,0,22.246129032258064,10.169677419354839,4,269.57,141.07,20,1,0,2025,3,9,61,51.0,76.0,61.0,17.0,13059.05,16544.27,15154.85,4391.63,70.0,65.5,68.75,17159.4175,16135.57,17016.756666666664,79.75904,21500.64463722229
2025-03-02,4,6,0,22.246129032258064,10.169677419354839,2,167.35,87.58,20,3,0,2025,3,9,61,27.0,40.0,40.0,90.0,3651.82,6393.53,6623.97,13054.79,47.5,52.875,54.666666666666664,7322.29,7815.165000000001,8187.990000000001,62.13921,10398.996751213073
2025-03-02,4,7,0,22.246129032258064,10.169677419354839,0,729.45,381.74,10,0,0,2025,3,9,61,58.0,53.0,43.0,53.0,41501.36,38469.98,30598.04,37795.93,57.5,53.375,53.25,41188.96250000001,38307.8225,37923.21,59.228825,43204.466115760806
2025-03-02,4,8,0,22.246129032258064,10.169677419354839,4,941.46,492.69,15,3,0,2025,3,9,61,43.0,84.0,51.0,60.0,36279.28,78105.22,43149.08,48064.8,56.75,57.125,59.75,50602.3225,49048.291249999995,51197.135,50.756374,47785.09620414734
2025-03-02,4,9,0,22.246129032258064,10.169677419354839,2,767.77,401.79,20,1,0,2025,3,9,61,22.0,73.0,43.0,34.0,16127.67,55401.77,27982.01,25469.33,48.75,55.0,54.166666666666664,35500.23,38887.9375,38791.35583333333,45.99623,35314.526335601804
2025-03-02,4,10,0,22.246129032258064,10.169677419354839,1,190.79,99.85,10,2,0,2025,3,9,61,63.0,63.0,27.0,74.0,11074.39,10935.99,4672.31,13207.98,47.75,56.25,58.166666666666664,8406.5725,10100.373749999999,10589.841666666667,36.28068,6921.991244392395
2025-03-02,4,11,0,22.246129032258064,10.169677419354839,0,786.83,411.77,0,2,0,2025,3,9,61,27.0,31.0,93.0,56.0,21244.41,24391.73,73175.19,44062.48,62.25,61.125,61.333333333333336,48980.1675,48094.98375,48258.90666666667,97.034744,76349.84782821656
2025-03-02,4,12,0,22.246129032258064,10.169677419354839,0,464.61,243.14,15,1,0,2025,3,9,61,34.0,60.0,89.0,40.0,14477.88,26583.76,37292.3,17098.94,54.25,54.0,61.75,23293.2675,23405.50125,26436.735833333336,60.507454,28112.368165054322
2025-03-02,4,13,0,22.246129032258064,10.169677419354839,1,630.94,330.19,0,0,0,2025,3,9,61,63.0,53.0,47.0,77.0,39749.22,33439.82,29654.18,48582.38,62.75,75.625,67.83333333333333,39591.485,47714.837499999994,42798.763333333336,69.78505,44030.17909271241
2025-03-02,4,14,0,22.246129032258064,10.169677419354839,4,882.17,461.66,10,1,0,2025,3,9,61,99.0,60.0,66.0,91.0,78765.85,52554.74,56180.24,73364.84,68.5,67.625,62.5,56976.545,56457.417499999996,52200.24833333333,57.288864,50538.51727462768
2025-03-02,4,15,0,22.246129032258064,10.169677419354839,1,275.72,144.29,0,1,0,2025,3,9,61,57.0,74.0,76.0,67.0,15716.04,20403.28,20954.72,18473.24,59.25,50.0,53.083333333333336,16336.41,13786.0,14636.136666666667,56.076195,15461.328420104983
2025-03-02,4,16,0,22.246129032258064,10.169677419354839,3,783.45,410.0,5,1,0,2025,3,9,61,18.0,81.0,52.0,63.0,13719.14,62634.74,39237.79,48508.36,56.75,52.25,60.583333333333336,43505.84,39875.93125,46143.32666666666,61.916225,48508.26681575776
2025-03-02,4,17,0,22.246129032258064,10.169677419354839,1,641.44,335.68,10,0,0,2025,3,9,61,30.0,60.0,26.0,42.0,18150.33,34875.8,15968.26,25694.01,45.75,43.25,46.0,27683.647500000003,26019.26375,27593.3475,49.198177,31557.678871459964
2025-03-02,4,18,0,22.246129032258064,10.169677419354839,2,238.66,124.9,15,0,0,2025,3,9,61,39.0,82.0,98.0,23.0,9107.56,19565.18,21359.91,5156.32,73.75,68.5,60.416666666666664,16816.120000000003,15204.260000000002,13441.375833333334,85.42597,20387.76247390747
2025-03-02,4,19,0,22.246129032258064,10.169677419354839,1,399.16,208.89,20,2,0,2025,3,9,61,76.0,71.0,40.0,38.0,29187.26,25825.53,15344.15,14585.39,63.0,68.875,68.25,23602.68,25071.7075,24296.25416666667,56.954166,22733.82506515503
2025-03-02,4,20,0,22.246129032258064,10.169677419354839,4,348.73,182.5,0,3,0,2025,3,9,61,72.0,25.0,33.0,79.0,25108.56,8718.25,11508.09,27549.67,50.75,46.375,50.166666666666664,17698.0475,16172.35375,17494.62166666667,54.998917,19179.77219497681
2025-03-02,5,1,0,22.246129032258064,10.169677419354839,1,653.27,341.87,0,1,2,2025,3,9,61,36.0,58.0,72.0,63.0,23517.72,37889.66,47035.44,41156.01,50.5,60.125,57.166666666666664,32990.135,39277.85875,37345.26833333333,53.246143,34784.10806041717
2025-03-02,5,2,0,22.246129032258064,10.169677419354839,0,158.52,82.96,10,0,2,2025,3,9,61,100.0,60.0,32.0,39.0,14297.67,9246.73,4913.17,6006.4,53.5,49.875,52.0,7943.977499999999,7456.762500000001,7802.678333333332,29.197126,4628.328475112915
2025-03-02,5,3,0,22.246129032258064,10.169677419354839,0,323.52,169.31,5,2,2,2025,3,9,61,72.0,38.0,37.0,43.0,23044.64,11856.63,11644.31,13375.86,58.5,60.125,58.5,18513.9625,19041.42625,18536.483333333334,61.611473,19932.543771972654
2025-03-02,5,4,0,22.246129032258064,10.169677419354839,3,96.04,50.26,0,2,2,2025,3,9,61,71.0,29.0,89.0,31.0,6818.84,2785.16,8547.56,2977.24,74.25,56.625,56.916666666666664,7130.969999999999,5438.264999999999,5466.276666666666,96.77358,9294.134859313965
2025-03-02,5,5,0,22.246129032258064,10.169677419354839,4,269.57,141.07,20,1,2,2025,3,9,61,21.0,45.0,95.0,67.0,5572.34,11389.05,24851.76,18030.73,60.25,60.125,63.75,14857.2375,15082.25375,15727.704166666665,90.29287,24340.24884941101
2025-03-02,5,6,0,22.246129032258064,10.169677419354839,2,167.35,87.58,20,3,2,2025,3,9,61,38.0,38.0,20.0,66.0,6202.39,5117.0,3306.16,9502.3,34.0,43.75,55.583333333333336,5124.95,6285.08,7854.824166666666,31.744762,5312.485991096496
2025-03-02,5,7,0,22.246129032258064,10.169677419354839,0,729.45,381.74,10,0,2,2025,3,9,61,47.0,46.0,59.0,39.0,32484.08,30599.46,38799.23,25826.56,59.25,63.625,66.33333333333333,39839.58,43241.11625,45352.526666666665,72.763954,53077.666363906865
2025-03-02,5,8,0,22.246129032258064,10.169677419354839,4,941.46,492.69,15,3,2,2025,3,9,61,94.0,71.0,27.0,51.0,81866.3,59539.81,23925.74,46531.09,55.5,61.125,69.91666666666667,47853.5175,52599.75625,60200.37083333333,24.481188,23048.059085426332
2025-03-02,5,9,0,22.246129032258064,10.169677419354839,2,767.77,401.79,20,1,2,2025,3,9,61,46.0,13.0,104.0,58.0,29915.26,8929.96,77128.93,37573.2,49.25,58.0,61.583333333333336,34991.7475,40213.634999999995,42703.255833333336,67.133354,51542.97534416198
2025-03-02,5,10,0,22.246129032258064,10.169677419354839,1,190.79,99.85,10,2,2,2025,3,9,61,64.0,51.0,80.0,53.0,11923.3,9475.8,13816.35,9268.47,61.25,54.75,51.833333333333336,11176.814999999999,9878.092499999999,9416.001666666667,63.249714,12067.41291454315
2025-03-02,5,11,0,22.246129032258064,10.169677419354839,0,786.83,411.77,0,2,2,2025,3,9,61,99.0,59.0,92.0,24.0,77896.17,46422.97,72388.36,18883.92,76.75,65.5,66.5,60389.2025,51537.365,52324.195,76.30619,60039.99986381531
2025-03-02,5,12,0,22.246129032258064,10.169677419354839,0,464.61,243.14,15,1,2,2025,3,9,61,57.0,45.0,37.0,41.0,25523.93,19446.27,17012.51,16635.15,48.25,51.0,53.5,21286.364999999998,21977.57375,22928.090833333335,42.857616,19912.077167015075
2025-03-02,5,13,0,22.246129032258064,10.169677419354839,1,630.94,330.19,0,0,2,2025,3,9,61,80.0,24.0,72.0,102.0,50475.2,15142.56,45427.68,64355.88,63.0,73.75,67.75,39749.22,46531.825,42746.185,75.912506,47896.23660095215
2025-03-02,5,14,0,22.246129032258064,10.169677419354839,4,882.17,461.66,10,1,2,2025,3,9,61,50.0,53.0,68.0,57.0,41051.89,43925.76,57230.47,50071.7,51.75,53.875,56.333333333333336,43199.744999999995,45539.53,47246.11583333334,49.552673,43713.88184020996
2025-03-02,5,15,0,22.246129032258064,10.169677419354839,1,275.72,144.29,0,1,2,2025,3,9,61,42.0,87.0,38.0,87.0,11580.24,23987.64,10477.36,23987.64,49.5,59.75,57.916666666666664,13648.14,16474.27,15968.783333333335,37.185505,10252.78741470337
2025-03-02,5,16,0,22.246129032258064,10.169677419354839,3,783.45,410.0,5,1,2,2025,3,9,61,66.0,18.0,81.0,26.0,50497.39,13796.26,62493.09,20172.93,58.25,59.375,56.166666666666664,44650.1475,45238.9675,42738.68666666667,76.92756,60268.896019363405
2025-03-02,5,17,0,22.246129032258064,10.169677419354839,1,641.44,335.68,10,0,2,2025,3,9,61,45.0,43.0,30.0,81.0,26018.89,25740.96,18267.67,48873.28,45.75,53.25,46.416666666666664,26928.065,31569.08,27561.1875,48.533024,31131.022808227543
2025-03-02,5,18,0,22.246129032258064,10.169677419354839,2,238.66,124.9,15,0,2,2025,3,9,61,78.0,53.0,66.0,80.0,16149.83,11807.47,13881.08,17091.19,63.25,67.5,57.666666666666664,13702.57,14864.02,12734.561666666663,61.599873,14701.42559211731
